"TargetModule","Coverage"
"iterator","0.4214876033057851"
"timing","0.5"
"person","0.9333333333333333"
"address","0.8837209302325582"
"text","0.9615384615384616"
"payment","0.9615384615384616"
"structure","0.9310344827586207"
"base","0.4411764705882353"
"text","0.9615384615384616"
"pl","0.8035714285714286"
"pt_br","0.9375"
"ru","0.9761904761904762"
"decorators","0.18181818181818182"
"generation","0.8648648648648649"
"manipulation","0.6574074074074074"
"validation","0.6638655462184874"
"lib","0.7777777777777778"
"renderfunc","1.0"
"roughparse","0.16030534351145037"
"base","0.925531914893617"
"fields","0.7866108786610879"
"formats","0.6615384615384615"
"composites","0.6571428571428571"
"json_schema","0.6051502145922747"
"_internal_utils","0.76"
"_internal_utils","0.76"
"_internal_utils","0.76"
"attr_category","0.46511627906976744"
"attr_category","0.46511627906976744"
"attr_category","0.46511627906976744"
"color","0.7"
"attr_category","0.46511627906976744"
"attr_category","0.46511627906976744"
"attr_category","0.46511627906976744"
"color","0.7"
"api","0.589041095890411"
"configuration","0.4583333333333333"
"format","0.21428571428571427"
"utils","0.6363636363636364"
"conf","0.8"
"box","0.9333333333333333"
"lazy","0.6923076923076923"
"task","0.3333333333333333"
"maybe","0.5833333333333334"
"utils","0.3235294117647059"
"monad_try","0.84"
"either","0.9333333333333333"
"semigroups","0.9722222222222222"
"validation","0.7083333333333334"
"immutable_list","0.7111111111111111"
"monad_try","0.84"
"exchange","0.2727272727272727"
"either","0.9333333333333333"
"generic","0.42857142857142855"
"ledger","0.17073170731707318"
"tokens","0.5121951219512195"
"tokenize_json","0.4444444444444444"
"tokenize_yaml","0.6190476190476191"
"positional_validation","0.25"
"env","0.7857142857142857"
"log","0.8275862068965517"
"path","0.3333333333333333"
"props","0.7142857142857143"
"rand","1.0"
"path","0.3333333333333333"
"rand","1.0"
"simple_import","0.6666666666666666"
"lazy_import","0.40594059405940597"
"utils","0.5862068965517241"
"router","0.4864864864864865"
"cookies","0.48936170212765956"
"headers","0.27710843373493976"
"exceptions","0.9555555555555556"
"routes","0.3918918918918919"
"blueprint_group","0.8"
"exceptions","0.4444444444444444"
"middleware","0.8333333333333334"
"config","0.6842105263157895"
"context","0.5555555555555556"
"downloads","0.31666666666666665"
"repository","0.9523809523809523"
"decorators","0.6666666666666666"
"namedtupleutils","0.05714285714285714"
"packages","0.0379746835443038"
"strutils","0.8333333333333334"
"iterator","0.47107438016528924"
"timing","0.5"
"common","0.3333333333333333"
"sessions","0.5"
"status","1.0"
"uploads","0.4318181818181818"
"processing","0.43478260869565216"
"writer","0.1702127659574468"
"colors","0.10256410256410256"
"headers","0.6"
"base","0.7857142857142857"
"builtin","1.0"
"models","0.20454545454545456"
"script_0","1.0"
"script_1","1.0"
"script_2","1.0"
"script_3","1.0"
"script_4","1.0"
"script_5","1.0"
"script_6","1.0"
"script_7","1.0"
"script_8","1.0"
"script_9","1.0"
"script_10","1.0"
"script_13","1.0"
"script_14","1.0"
"script_15","1.0"
"script_16","1.0"
"script_17","1.0"
